Code,Type,Length ave. (nm) ,Diameter ave. (nm),Diameter std,BET (m2/g),Fe content,Co content,Ni content,Mg content,Mn content,Purity (%),Zave (batch),PdI (batch),Zave (12.5 ug/ml),PdI  (12.5 ug/ml),Zave  (200 ug/ml),PdI  (200 ug/ml),ROS,Peak (ug/ml),0 (ug/ml)_via,12.5 (ug/ml)_via,25 (ug/ml)_via,50 (ug/ml)_via,100 (ug/ml)_via,200 (ug/ml)_via,0 (ug/ml)_prolif,12.5 (ug/ml)_prolif,25 (ug/ml)_prolif,50 (ug/ml)_prolif,100 (ug/ml)_prolif,200 (ug/ml)_prolif,CEA: C.H.N.O (wt%),OH mmol/g,COOH mmol/g,Endotoxins (EU/mg),Genotoxicity
NRCWE- 040,PRISTINE,518.9,22.1,7.8,150,0.2,0.001,0.56,0.01,0.002,98.6,195.6,0.358,159,0.398,262,0.408,1.7,12.5,94,95,96,97,97,99,100,95,85,60,67,62,96,0.35,0.18,0.18,0
NRCWE- 041,OH,1005,26.9,10.1,152,0.13,0.001,0.31,0.02,0.001,99.2,218.7,0.501,236,0.484,235,0.496,3,12.5,93,94,96,96,96,98,100,79,62,50,54,59,97,1.69,0.84,,0
NRCWE- 042,COOH,723.2,30.2,14.2,141,0.08,0,0.21,0.03,0.001,99.2,195.2,0.382,155,0.314,190,0.425,0.8,12.5,94,95,96,97,98,99,100,89,96,72,79,56,96,4.09,2.04,0.26,0
NRCWE- 043,PRISTINE,771.3,55.6,18.1,82,0.008,0.001,1.2,0.01,,98.5,177,0.237,145,0.254,154,0.306,2.3,12.5,96,96,98,98,99,99,100,105,115,114,111,101,96,0.18,0.09,0.25,0
NRCWE- 044,OH,1330,32.7,13.6,74,0.004,0.002,1.04,0.02,,98.6,202.2,0.236,437,0.478,605,0.58,1.7,12.5,96,96,97,98,98,99,100,99,96,95,91,77,97,0.23,0.11,0.27,1
NRCWE- 045,COOH,1553,30.2,15.6,119,1.17,0.25,1.34,0.02,0.002,96.3,192.4,0.227,336,0.477,295,0.391,1.5,12.5,94,97,96,98,98,98,100,95,100,104,79,29,93,0.63,0.31,0.34,1
NRCWE- 046,PRISTINE,717.2,29.1,16.1,223,0.008,0.25,0.0045,0.22,0.3,98.7,182.9,0.434,598,0.504,1159,0.497,6.6,6.25,96,98,98,98,99,99,100,93,88,112,97,10,96,0.63,0.32,0.19,0
NRCWE- 047,OH,532.5,22.6,10.1,216,0.007,0.25,0.0043,0.22,0.3,98.7,200.1,0.402,244,0.446,307,0.484,2.1,6.25,97,99,99,99,99,99,100,99,105,90,79,19,97,0.26,0.13,0.01,0
NRCWE- 048,COOH,1604,17.9,17.9,185,0.007,0.24,0.0037,0.19,0.28,98.8,182.2,0.397,152,0.465,128,0.372,2.1,6.25,97,97,98,98,99,100,100,95,97,84,81,42,96,0.58,0.29,0.03,0
NRCWE- 049,NH2,731.1,14.9,5.6,199,0.004,0.25,0.0038,0.19,0.29,98.8,212.5,0.602,197,0.867,217,0.639,3.4,12.5,96,97,97,99,99,98,100,95,80,83,79,20,97,0.33,0.16,0.05,0
NM-400,PRISTINE,847,11,3,254,0.2607,0.1063,0.0011,,,90,168.1,0.385,274,0.582,270,0.592,5.1,5.6,97,97,98,99,99,98,100,105,105,121,102,115,88,0.79,0.4,,1
NM-401,PRISTINE,4048,67,24,18,0.05,,,0.015,,99.19,923.8,0.323,570,0.463,652,0.502,0,11.25,96,96,94,94,95,95,100,77,64,52,50,47,98,0.03,0.02,0.42,0
NM-402,PRISTINE,1372,11,3,226,1.31,,0.0011,0.001,0.001,92.97,171.3,0.407,456,0.482,213,0.465,7.7,12.5,97,97,98,98,99,96,100,113,100,99,104,47,92,0.28,0.14,0.01,1
NM-403,PRISTINE,1373,13,3,227,2.31,,1.0011,1.001,1.001,90,200.2,0.407,587,0.514,291,0.506,1.9,12.5,96,97,98,98,99,98,100,83,94,77,78,14,97,0.19,0.09,0.01,1
NRCWE-006,PRISTINE,5700,65,25,26,0.68,,,,,99,633.3,0.256,832,0.459,2102,0.448,0.3,11.25,95,94,93,93,91,94,100,75,73,55,55,55,98,0.08,0.04,0.51,1
